,Cities,Countries,Population
81234,Avellaneda,Argentina,0.0
81235,Alterosa,Brazil,9277.0
81236,Sharanga,Russia,6273.0
81237,Kuibyshevo,Ukraine,2520.0
81238,Chiusanico,Italy,219.0
81239,Villatoya,Spain,197.0
81240,Tucta,Mexico,2015.0
81241,El Diez,Mexico,6939.0
81242,Penryn,USA,1024.0
81243,Morcenx,France,4993.0
81244,Teigebyen,Norway,0.0
81245,Sant'Orsola Terme,Italy,906.0
81246,West Bridgewater,USA,6750.0
81247,Nong Phok,Thailand,0.0
81248,Clifton Springs,Australia,7413.0
81249,Kirkby,United Kingdom,42744.0
81250,Slangerup,Denmark,6829.0
81251,Island Harbour,Anguilla,0.0
81252,San Pascual,Philippines,39395.0
81253,Waldzell,Austria,687.0
81254,La Yesca,Mexico,534.0
81255,Estrela,Brazil,24200.0
81256,Bacalan,Philippines,2060.0
81257,Illkirch-Graffenstaden,France,27261.0
81258,Rincón de Guadalupe,Mexico,1004.0
81259,Carrollton,USA,6583.0
81260,Ea Súp,Vietnam,0.0
81261,Santa Clara Pueblo,USA,1018.0
81262,Pozzolo Formigaro,Italy,4110.0
81263,Heyfield,Australia,2024.0
81264,Furano,Japanese,0.0
81265,Ixtacomitán,Mexico,4835.0
81266,Reitdiep,Netherlands,2625.0
81267,Nefteyugansk,Russia,112632.0
81268,New Marske,United Kingdom,3271.0
81269,Auboué,France,2890.0
81270,Espelúy,Spain,771.0
81271,Curitiba,Brazil,1718421.0
81272,Kaspichan,Bulgaria,3635.0
81273,Gallegos de Argañán,Spain,359.0
81274,Ilieni,Romania,1826.0
81275,Cabreros del Río,Spain,510.0
81276,Cento,Italy,18191.0
81277,Magreta,Italy,3344.0
81278,Garrison,USA,1538.0
81279,Hermosillo,Mexico,5101.0
81280,Pappenheim,Germany,1514.0
81281,Łambinowice,Poland,2800.0
81282,Lanzara,Italy,5673.0
81283,Humboldt Hill,USA,3414.0
81284,Yangezhuang,China,3722.0
81285,Lazuri de Beiuş,Romania,1840.0
81286,Schwebheim,Germany,4023.0
81287,San Bartolomé de las Abiertas,Spain,458.0
81288,Rattenberg,Austria,411.0
81289,Găgeşti,Romania,2252.0
81290,Pregradnaya,Russia,6595.0
81291,Matmata,Tunisia,2406.0
81292,Frías,Colombia,1215.0
81293,Attenhofen,Germany,1352.0
81294,Choma,Zambia,46746.0
81295,Coopers Plains,Australia,4208.0
81296,Great Yeldham,United Kingdom,1844.0
81297,Klaten,Indonesia,126831.0
81298,Tortum,Turkey,9429.0
81299,Richmond Hill,USA,11935.0
81300,Anaya de Alba,Spain,277.0
81301,Sherburn Hill,United Kingdom,1202.0
81302,Tabursuq,Tunisia,12727.0
81303,Brunswick,USA,16157.0
81304,Chesterfield Court House,USA,3808.0
81305,Zgierz,Poland,58036.0
81306,Al ‘Amūd,Yemen,0.0
81307,Mons-en-Barœul,France,23006.0
81308,Jatani,India,56003.0
81309,Trawniki,Poland,2893.0
81310,Szczyrk,Poland,5860.0
81311,Dobropillya,Ukraine,35977.0
81312,Three Rivers,USA,3014.0
81313,Tougan,Burkina Faso,17590.0
81314,Lame,Nigeria,6705.0
81315,Damolog,Philippines,2946.0
81316,Zacualtipán,Mexico,23125.0
81317,Evergreen,USA,7616.0
81318,Kaz,Russia,4854.0
81319,Capriati A Volturno,Italy,1195.0
81320,Pata,Philippines,2224.0
81321,Juprelle,Belgium,8354.0
81322,Squillace,Italy,1639.0
81323,Beirut,Lebanon,1916100.0
81324,Katutura,Namibia,21243.0
81325,Tomé Açu,Brazil,34053.0
81326,Itapeva,Brazil,62957.0
81327,Beït ed Dîne,Lebanon,0.0
81328,Beardstown,USA,5738.0
81329,Wimpassing an der Leitha,Austria,1549.0
81330,Bécancour,Canada,11134.0
81331,Tuod,Philippines,2778.0
81332,Plombières-les-Bains,France,1943.0
81333,Menaggio,Italy,3178.0
81334,Salbert,France,2262.0
81335,Bawtry,United Kingdom,4109.0
81336,Entrerríos,Colombia,3462.0
81337,Möttingen,Germany,2558.0
81338,Tanabi,Brazil,18227.0
81339,Reichenbach-Steegen,Germany,1474.0
81340,Kochetok,Ukraine,3481.0
81341,Mineros,Bolivia,14385.0
81342,Kulpin,Serbia,3207.0
81343,Greensburg,USA,14495.0
81344,Migliarino,Italy,2763.0
81345,Meyssac,France,1194.0
81346,Changuillo,Peru,0.0
81347,Paterna de Rivera,Spain,5306.0
81348,Trojas,Honduras,1068.0
81349,Kalininskaya,Russia,13363.0
81350,Castril,Spain,2547.0
81351,Cogon,Philippines,2402.0
81352,Caluula,Somalia,6100.0
81353,Qaraçuxur,Azerbaijan,72989.0
81354,Ollachea,Peru,0.0
81355,Cruz do Espírito Santo,Brazil,5812.0
81356,Le Donjon,France,1191.0
81357,Yi-ngo,Thailand,0.0
81358,La Calade,France,6313.0
81359,Sindou,Burkina Faso,3917.0
81360,Radzanów,Poland,930.0
81361,Rüti / Oberdorf,Switzerland,2875.0
81362,Schleswig,Germany,24114.0
81363,Krishnapur,India,7325.0
81364,Castelmoron-sur-Lot,France,1757.0
81365,Berk’anush,Armenia,1682.0
81366,Villa Ciambra,Italy,1919.0
81367,Wola,Poland,143996.0
81368,Colonia Arboledas (San Andrés),Mexico,1219.0
81369,Nuevo San Carlitos,Panama,1724.0
81370,Białka,Poland,2542.0
81371,Girraween,Australia,4059.0
81372,An Châu,Vietnam,0.0
81373,El Espinal,Panama,0.0
81374,Serres,France,1291.0
81375,Lake Hamilton,USA,1346.0
81376,Recklinghausen,Germany,122438.0
81377,Saint-Joseph-du-Lac,Canada,6195.0
81378,Agua Dulce,USA,3014.0
81379,Pozos,Mexico,2742.0
81380,Aïn Bessem,Algeria,29461.0
81381,Park Hills,USA,3007.0
81382,Echallens,Switzerland,4972.0
81383,Murisengo,Italy,753.0
81384,Satanta,USA,1133.0
81385,Saint-Florent-des-Bois,France,2725.0
81386,Captieux,France,1416.0
81387,Aydıncık,Turkey,8385.0
81388,North Providence,USA,33835.0
81389,Mezcala,Mexico,5005.0
81390,Ascó,Spain,1625.0
81391,Buenavista,Philippines,18668.0
81392,Solnechnogorsk,Russia,58891.0
81393,Podenii Noi,Romania,4644.0
81394,Priob’ye,Russia,7400.0
81395,Kirkby Lonsdale,United Kingdom,1843.0
81396,Alcaucín,Spain,1697.0
81397,Ashland,USA,21108.0
81398,Dam Dam,India,122719.0
81399,Farlete,Spain,436.0
81400,Licenza,Italy,935.0
81401,Ciofrângeni,Romania,2643.0
81402,Vassalboro,USA,4208.0
81403,Sabang,Indonesia,24519.0
81404,Chandla,India,11195.0
81405,Sobrance,Slovakia,6262.0
81406,Sung Men,Thailand,0.0
81407,Cullingworth,United Kingdom,2596.0
81408,Chicahuaxtla,Mexico,2640.0
81409,Spruce Pine,USA,2134.0
81410,Banderilla,Mexico,19649.0
81411,Gornate Olona,Italy,1638.0
81412,Krousón,Greece,2811.0
81413,Pocinhos,Brazil,7803.0
81414,Santa María Acatepec,Mexico,1171.0
81415,Orgères-en-Beauce,France,1072.0
81416,Sillavengo,Italy,449.0
81417,Ródenas,Spain,91.0
81418,Lastras del Pozo,Spain,88.0
81419,Den Burg,Netherlands,6485.0
81420,Ladang Seri Kundang,Malaysia,23307.0
81421,Schio,Italy,33740.0
81422,Butajīra,Ethiopia,30502.0
81423,Highland,USA,3197.0
81424,Hueyotlipan,Mexico,5176.0
81425,Abū Qalqal,Syria,0.0
81426,Nahiyat Ghammas,Iraq,30909.0
81427,Dinghai,China,7620.0
81428,Muang Long,Laos,0.0
81429,Stadt Wehlen,Germany,1733.0
81430,Alfara del Patriarca,Spain,2779.0
81431,Schomyslitsa,Belarus,1822.0
81432,Kamifukuoka,Japanese,52323.0
81433,Langschlag,Austria,631.0
81434,Ma Đa Gui,Vietnam,0.0
81435,San Juan,Mexico,2962.0
81436,Lorüns,Austria,294.0
81437,Novyy Rogachik,Russia,7575.0
81438,Ostra,Italy,2947.0
81439,Auce,Latvia,3125.0
81440,Kananya,Philippines,7647.0
81441,Picton,Australia,4284.0
81442,Kolāras,India,17174.0
81443,Kannod,India,15870.0
81444,Los Palmitos,Colombia,14385.0
81445,Valle de Vaquerías,Mexico,2908.0
81446,Nahe,Germany,2434.0
81447,Nebolchi,Russia,2198.0
81448,Vista Hermosa,Mexico,3490.0
81449,Klaipėda,Lithuania,192307.0
81450,Moca,Dominican Republic,61834.0
81451,Massanes,Spain,0.0
81452,Strozza,Italy,755.0
81453,At-Bashi,Kyrgyzstan,15226.0
81454,Başkale,Turkey,14516.0
81455,Yallambie,Australia,4129.0
81456,Blascosancho,Spain,134.0
81457,Tegoleto,Italy,1373.0
81458,Rantsila,Finland,2048.0
81459,Komsilga,Burkina Faso,0.0
81460,Corni,Romania,2481.0
81461,Mazeikiai,Lithuania,41309.0
81462,Caselle,Italy,2307.0
81463,Mineral del Monte,Mexico,11015.0
81464,Donji Žabar,Bosnia and Herzegovina,0.0
81465,Filighera,Italy,775.0
81466,Aţ Ţīrah,Palestinian Territory,1340.0
81467,Prentiss,USA,1002.0
81468,Situbondo,Indonesia,600000.0
81469,Nīmāj,India,20424.0
81470,Saboyá,Colombia,1375.0
81471,Lebel-sur-Quévillon,Canada,3289.0
81472,Tumbi Vmbi,Australia,4977.0
81473,Kitob,Uzbekistan,41938.0
81474,Jamalca,Peru,0.0
81475,Richha,India,19459.0
81476,Mberubu,Nigeria,8904.0
81477,London Village,Kiribati,1829.0
81478,McLaren Vale,Australia,3853.0
81479,Herce,Spain,356.0
81480,La Mesilla,Mexico,1573.0
81481,Siulak,Indonesia,0.0
81482,Kými,Greece,2979.0
81483,Pezmatlán,Mexico,1375.0
81484,Saint-Martin-Longueau,France,1476.0
81485,Sykiá,Greece,1903.0
81486,Idalou,USA,2337.0
81487,Altena,Germany,20862.0
81488,La Membrolle-sur-Choisille,France,3085.0
81489,Kūdligi,India,22975.0
81490,Lorch,Germany,11418.0
81491,Großbardorf,Germany,1006.0
81492,Martín de la Jara,Spain,2783.0
81493,Bobolice,Poland,4365.0
81494,Miarinarivo,Madagascar,0.0
81495,Tiszabura,Hungary,2730.0
81496,Bermuda Run,USA,2561.0
81497,Blato,Croatia,3677.0
81498,Osuna,Spain,17851.0
81499,Timashëvsk,Russia,53940.0
81500,Sankt Stephan,Switzerland,1352.0
81501,Borzonasca,Italy,833.0
81502,At Tall,Syria,55561.0
81503,Los Serranos,USA,7099.0
81504,Nuragus,Italy,926.0
81505,San Juan Yaee,Mexico,812.0
81506,Pak Thong Chai,Thailand,0.0
81507,Sishui,China,90175.0
81508,Benisuera,Spain,194.0
81509,Montévrain,France,3442.0
81510,Chaoyang,China,410005.0
81511,Saint-Pierre-des-Échaubrognes,France,1290.0
81512,Crostau,Germany,1786.0
81513,Castrillo de la Valduerna,Spain,188.0
81514,Novoaydar,Ukraine,0.0
81515,Owatonna,USA,25725.0
81516,Xiling,China,3110.0
81517,Santa Rita do Passa Quatro,Brazil,24578.0
81518,Saint-Saturnin,France,1199.0
81519,Recsk,Hungary,2992.0
81520,Noshiro,Japanese,51079.0
81521,Podkowa Leśna,Poland,3844.0
81522,Piazza-Tralia-Pendolo,Italy,4378.0
81523,Sale,United Kingdom,55689.0
81524,São Gonçalo do Amarante,Brazil,23583.0
81525,Balong,Indonesia,0.0
81526,Al-Hamdaniya,Iraq,50000.0
81527,Macusani,Peru,6044.0
81528,Plai Phraya,Thailand,0.0
81529,Korçë,Albania,58259.0
81530,Ururi,Italy,2565.0
81531,Talipao,Philippines,0.0
81532,Lastras de Cuéllar,Spain,469.0
81533,Praz-sur-Arly,France,1197.0
81534,Coslada,Spain,90280.0
81535,Veternigo,Italy,3356.0
81536,Sison,Philippines,3171.0
81537,Bélapátfalva,Hungary,3401.0
81538,Dietramszell,Germany,5252.0
81539,Jericó,Honduras,2364.0
81540,Leland,USA,377.0
81541,Livezi,Romania,2586.0
81542,Horodnic de Sus,Romania,5136.0
81543,Syntul,Russia,1842.0
81544,Midland,USA,8962.0
81545,Groblershoop,South Africa,0.0
81546,Vicente Camalote,Mexico,7164.0
81547,Chawinda,Pakistan,23599.0
81548,Montana City,USA,2715.0
81549,El Llano,Mexico,1184.0
81550,Tuineje,Spain,13632.0
81551,East Brewton,USA,2419.0
81552,Araguaiana,Brazil,3512.0
81553,Felsberg,Germany,11219.0
81554,Pfaffroda,Germany,3187.0
81555,Záhony,Hungary,4807.0
81556,Godojos,Spain,55.0
81557,Kostelec nad Orlicí,Czechia,6184.0
81558,Casay,Philippines,3596.0
81559,Basco,Philippines,7297.0
81560,Barretos,Brazil,101220.0
81561,Avsallar,Turkey,12829.0
81562,El Rincón,Panama,1341.0
81563,Les Landes-Genusson,France,2138.0
81564,Jaren,Norway,0.0
81565,Annandale,USA,3304.0
81566,Krośnica,Poland,1400.0
81567,Ashkāsham,Afghanistan,12120.0
81568,Sattledt,Austria,1255.0
81569,Santa Marta de Tormes,Spain,14630.0
81570,New Hartford,USA,1844.0
81571,Lefkímmi,Greece,2935.0
81572,Fochville,South Africa,62416.0
81573,Zubieta,Spain,292.0
81574,Alahanpanjang,Indonesia,0.0
81575,Frassinetto,Italy,141.0
81576,Kedrovyy,Russia,3061.0
81577,Mezőberény,Hungary,11306.0
81578,Höri,Switzerland,1041.0
81579,Richards Bay,South Africa,252968.0
81580,Capolona,Italy,2763.0
81581,Mpulungu,Zambia,8547.0
81582,Busto Arsizio,Italy,79519.0
81583,Partūr,India,30991.0
81584,Combrand,France,1171.0
81585,Andzhiyevskiy,Russia,6755.0
81586,Verín,Spain,14391.0
81587,Loughborough,United Kingdom,59932.0
81588,Silves,Portugal,10917.0
81589,Saruhanlı,Turkey,12947.0
81590,Villacher Vorstadt,Austria,8421.0
81591,Murmino,Russia,3506.0
81592,Cabatuan,Philippines,0.0
81593,Arinos,Brazil,10077.0
81594,Huron,USA,13313.0
81595,Kremidivka,Ukraine,2533.0
81596,Lérouville,France,1408.0
81597,Longyan,China,0.0
81598,Bougival,France,8895.0
81599,Alderton,USA,2893.0
81600,El Vellón,Spain,1293.0
81601,Ujar,Azerbaijan,15741.0
81602,Castiglione Olona,Italy,7119.0
81603,San Pedro Ixcatlán,Mexico,3504.0
81604,Samsan,South Korea,0.0
81605,Nova Granada,Brazil,15715.0
81606,Tömörkény,Hungary,1944.0
81607,Schmargendorf,Germany,20262.0
81608,Stockbridge,USA,1232.0
81609,Wiradesa,Indonesia,39407.0
81610,Loma de los Carmona,Mexico,1233.0
81611,Tramacastiel,Spain,115.0
81612,Buena Vista,Paraguay,1580.0
81613,Otukpa,Nigeria,21686.0
81614,Theydon Bois,United Kingdom,3829.0
81615,Mūvattupula,India,29664.0
81616,Povedniki,Russia,2200.0
81617,Tramonti,Italy,3935.0
81618,Miguel Ahumada,Mexico,8575.0
81619,Pálmonostora,Hungary,2052.0
81620,Rancho Cordova,USA,71017.0
81621,Domaşnea,Romania,1446.0
81622,Alcolea del Río,Spain,3339.0
81623,Chiprovtsi,Bulgaria,2080.0
81624,Bisham,United Kingdom,0.0
81625,Reignac,France,1349.0
81626,Ukromnoye,Ukraine,4567.0
81627,El Guayabo,Mexico,2065.0
81628,Lokokrangan,Indonesia,0.0
81629,Dalry,United Kingdom,5560.0
81630,Mombello di Torino,Italy,278.0
81631,Mitzpe Ramon,Israel,4769.0
81632,Cape Coral,USA,175229.0
81633,Kinross,Australia,7232.0
81634,Petaquillas,Mexico,9801.0
81635,Elk Point,USA,1874.0
81636,Atecax,Mexico,1433.0
81637,Patzicía,Guatemala,16494.0
81638,Laayoune,Western Sahara,196331.0
81639,Gallodoro,Italy,378.0
81640,Stein am Rhein,Switzerland,3224.0
81641,Petropavlovsk-Kamchatsky,Russia,187282.0
81642,Moiano,Italy,2387.0
81643,Brunswick West,Australia,13148.0
81644,Baillif,Guadeloupe,5705.0
81645,Staryye Atagi,Russia,10183.0
81646,Spasskoye,Russia,4023.0
81647,Goregaon,India,6946.0
81648,Fagundes,Brazil,5137.0
81649,Vâlcele,Romania,3646.0
81650,Casarsa della Delizia,Italy,8320.0
81651,Kramsach,Austria,0.0
81652,Kualapu‘u,USA,2027.0
81653,Morancez,France,1687.0
81654,Předklášteří,Czechia,1446.0
81655,Khowrmūj,Iran,0.0
81656,Nyíracsád,Hungary,4047.0
81657,Motiong,Philippines,2507.0
81658,Pfaffen-Schwabenheim,Germany,1310.0
81659,Bredbury,United Kingdom,15126.0
81660,Alferrarede,Portugal,3654.0
81661,Paços de Ferreira,Portugal,6782.0
81662,Tagamanent,Spain,265.0
81663,Pankow,Germany,57113.0
81664,Dimasalang,Philippines,3018.0
81665,Sotresgudo,Spain,626.0
81666,Garden City,USA,11550.0
81667,Valseca,Spain,327.0
81668,Novato,USA,55530.0
81669,Stara Dąbrowa,Poland,618.0
81670,El Real de San Vicente,Spain,1064.0
81671,Ferns,Ireland,1362.0
81672,Polanco,Philippines,3817.0
81673,Huagai,China,0.0
81674,Söhlde,Germany,8361.0
81675,Mosal’sk,Russia,3972.0
81676,Midhurst,United Kingdom,6514.0
81677,Moss Bluff,USA,11557.0
81678,Grande Rivière Noire,Mauritius,2361.0
81679,Zawit Al Bour,Morocco,0.0
81680,Barpeta,India,48824.0
81681,Marlow Heights,USA,5618.0
81682,Ocniţa,Moldova,9325.0
81683,Berlaar,Belgium,10370.0
81684,Santiago Llano Grande,Mexico,1880.0
81685,As Si‘in,Syria,0.0
81686,Vago,Italy,4000.0
81687,Lansdowne,India,8198.0
81688,El Cabezón,Mexico,2683.0
81689,Sainte-Thérèse,Canada,25224.0
81690,Suardi,Italy,651.0
81691,Avon,USA,1667.0
81692,Lanrodec,France,1133.0
81693,Miramar,USA,137132.0
81694,Quinlan,USA,1439.0
81695,Burlington,USA,1181.0
81696,Ezhva,Russia,56000.0
81697,Jonquières,France,4195.0
81698,Dashtavan,Armenia,1762.0
81699,Malimono,Philippines,0.0
81700,A Pobra do Brollon,Spain,2372.0
81701,Pucón,Chile,26953.0
81702,Båtsfjord,Norway,2166.0
81703,Arboleda,Colombia,1736.0
81704,Lanžhot,Czechia,3713.0
81705,Zharkovskiy,Russia,4833.0
81706,Churchdown,United Kingdom,13287.0
81707,Eagle,USA,6678.0
81708,Quán Hành,Vietnam,0.0
81709,Mansurlu,Turkey,0.0
81710,Rannungen,Germany,1209.0
81711,Tsovasar,Armenia,2248.0
81712,Loburg,Germany,2467.0
81713,Wetheral,United Kingdom,1605.0
81714,Gusinje,Montenegro,4.0
81715,Ardusat,Romania,2513.0
81716,Ashdown,USA,4479.0
81717,Whitestone,USA,36984.0
81718,Désarmes,Haiti,15594.0
81719,El Habillal,Mexico,1691.0
81720,Boquerón,Puerto Rico,2017.0
81721,Desterro,Brazil,5374.0
81722,Wishaw,United Kingdom,30510.0
81723,Leimersheim,Germany,2624.0
81724,Steinbrunn,Austria,2614.0
81725,Schluchsee,Germany,2586.0
81726,Ðurmanec,Croatia,0.0
81727,Saint-Martin-sur-Ocre,France,1225.0
81728,Roslyn Harbor,USA,1093.0
81729,Piraquara,Brazil,41161.0
81730,Castelpetroso,Italy,118.0
81731,Isulan,Philippines,31717.0
81732,Čazma,Croatia,2892.0
81733,Papakura,New Zealand,28010.0
81734,Tanjore,India,219571.0
81735,Ayent,Switzerland,3243.0
81736,Bewbush,United Kingdom,9081.0
81737,Anjad,India,24286.0
81738,Bangui,Central African Republic,542393.0
81739,Zwölfaxing,Austria,1744.0
81740,Kuressaare,Estonia,14921.0
81741,José Bonifácio,Brazil,27828.0
81742,Matveyev Kurgan,Russia,14342.0
81743,Sretensk,Russia,7698.0
81744,Cervantes,Philippines,2520.0
81745,Horleşti,Romania,3112.0
81746,Goshaingaon,India,13933.0
81747,Zoccorino-Vergo,Italy,2115.0
81748,Menzel Salem,Tunisia,2856.0
81749,Chibombo,Zambia,4477.0
81750,Kon Dơng,Vietnam,0.0
81751,Mössingen,Germany,20010.0
81752,Tlanchinol,Mexico,5199.0
81753,Sankt Nikolai ob Draßling,Austria,738.0
81754,Linxi,China,0.0
81755,Pozos de Hinojo,Spain,62.0
81756,Campo la Arrocera,Mexico,1709.0
81757,Sjøholt,Norway,1133.0
81758,Rizal,Philippines,2178.0
81759,Tselinnoye,Russia,5711.0
81760,Llwynypia,United Kingdom,2253.0
81761,Chon Buri,Thailand,219164.0
81762,Omoa,Honduras,4763.0
81763,Beidao,China,74767.0
81764,Bettendorf,Luxembourg,1072.0
81765,Machaneng,Botswana,2139.0
81766,Lupane,Zimbabwe,1200.0
81767,Massapequa,USA,21685.0
81768,Pervomayskiy,Russia,13196.0
81769,La Couronne,France,7590.0
81770,Floreşti,Romania,7397.0
81771,Shklow,Belarus,13485.0
81772,Malim,Philippines,2356.0
81773,Palocabildo,Colombia,3534.0
81774,Leersum,Netherlands,6385.0
81775,Shal’skiy,Russia,1200.0
81776,Allerheiligen im Mühlkreis,Austria,371.0
81777,Ayoó de Vidriales,Spain,422.0
81778,Hessisch Lichtenau,Germany,13291.0
81779,Sulzburg,Germany,2717.0
81780,Aldeanueva de Barbarroya,Spain,733.0
81781,Langfang,China,720119.0
81782,Oconahua,Mexico,2275.0
81783,Rucheng Chengguanzhen,China,0.0
81784,Pisarzowice,Poland,1600.0
81785,Frankfurt (Oder),Germany,51691.0
81786,Undory,Russia,3376.0
81787,Rāmban,India,7317.0
81788,Surs’ko-Mykhaylivka,Ukraine,2552.0
81789,Tiruppur,India,397521.0
81790,Saceda-Trasierra,Spain,101.0
81791,Villares de Jadraque,Spain,51.0
81792,Tamsalu,Estonia,2594.0
81793,Wałbrzych,Poland,127431.0
81794,San Pietro Viminario,Italy,1153.0
81795,Tolú Viejo,Colombia,8260.0
81796,Pomata,Peru,0.0
81797,Kaputian,Philippines,0.0
81798,Latchingdon and Snoreham,United Kingdom,1182.0
81799,Pont-Saint-Pierre,France,1092.0
81800,Santa María Ixhuatán,Guatemala,3634.0
81801,Koboko,Uganda,0.0
81802,Navas de Estena,Spain,392.0
81803,Limana,Italy,3128.0
81804,Fellbach,Germany,43935.0
81805,Haibach im Mühlkreis,Austria,80.0
81806,El Ceñidor,Mexico,2235.0
81807,Tarazá,Colombia,0.0
81808,Cruz de Machacamarca,Bolivia,0.0
81809,Narkevychi,Ukraine,1631.0
81810,Rombas,France,10942.0
81811,Kitwe,Zambia,400914.0
81812,El Golaa,Tunisia,7189.0
81813,Quinebaug,USA,1133.0
81814,Girikbedro,Turkey,1865.0
81815,Odobești,Romania,459.0
81816,Allen,USA,98143.0
81817,Valea Popii,Romania,1123.0
81818,Agrișu Mare,Romania,1013.0
81819,Balgowlah,Australia,7495.0
81820,Rebrişoara,Romania,4637.0
81821,Thornbury,United Kingdom,0.0
81822,Syumsi,Russia,5582.0
81823,San Rafael,Peru,0.0
81824,Maintal,Germany,38313.0
81825,Lăpuşnicel,Romania,1279.0
81826,Luena,Angola,21115.0
81827,Ruo,Micronesia,0.0
81828,Saint-Agathon,France,1876.0
81829,Chāh Āb,Afghanistan,0.0
81830,Burgeo,Canada,1627.0
81831,Boiro,Spain,18883.0
81832,French Camp,USA,3376.0
81833,Blížejov,Czechia,1029.0
81834,Erraguntla,India,27874.0
81835,Llano Largo,Panama,1013.0
81836,Glina,Croatia,3131.0
81837,Cauday,Peru,0.0
81838,Kołbaskowo,Poland,410.0
81839,Murfatlar,Romania,10906.0
81840,Casasimarro,Spain,3051.0
81841,Castiglione Messer Marino,Italy,1650.0
81842,Tumbala,Mexico,3227.0
81843,Vathý,Greece,1888.0
81844,Roses,Spain,20197.0
81845,Alosno,Spain,4341.0
81846,La Pintana,Chile,201178.0
81847,Husillos,Spain,200.0
81848,Verapaz,Mexico,2237.0
81849,Inuvik,Canada,3022.0
81850,Bene Lario,Italy,293.0
81851,Fujieda,Japanese,132859.0
81852,Vyshchetarasivka,Ukraine,3651.0
81853,Navelim,India,12469.0
81854,San José del Torreón,Mexico,1149.0
81855,Cruzeiro,Brazil,72022.0
81856,Al Qaflah,Yemen,0.0
81857,Langenzenn,Germany,10629.0
81858,Oulad Frej,Morocco,0.0
81859,Celenza Valfortore,Italy,1691.0
81860,Gura Văii,Romania,1613.0
81861,Kyŏngsŏng,North Korea,35604.0
81862,Tariverde,Romania,1152.0
81863,Isla Mujeres,Mexico,12642.0
81864,San Pedro Sochiápam,Mexico,1843.0
81865,Zgurovka,Ukraine,6369.0
81866,Torre Beretti,Italy,479.0
81867,Gretna,USA,1386.0
81868,Şoldanu,Romania,3488.0
81869,Soyen,Germany,2712.0
81870,Xun Xian Chengguanzhen,China,0.0
81871,Barbadillo de Herreros,Spain,151.0
81872,Beauzac,France,2162.0
81873,Gevgelija,Macedonia,20664.0
81874,Battle Creek,USA,1193.0
81875,Si Samrong,Thailand,0.0
81876,Avesnes-les-Aubert,France,3665.0
81877,Colonia Elía,Argentina,1620.0
81878,Schwarzenborn,Germany,1251.0
81879,Mitrovicë,Kosovo,107045.0
81880,Rorbas,Switzerland,1797.0
81881,Pokhara,Nepal,200000.0
81882,Lubniewice,Poland,1924.0
81883,Cheung Prey,Cambodia,0.0
81884,La Esperanza,Honduras,5318.0
81885,Cáqueza,Colombia,7958.0
81886,Ottava,Italy,1923.0
81887,Jogīghopa,India,2415.0
81888,San Felipe,Philippines,2570.0
81889,Corminboeuf,Switzerland,1702.0
81890,Hartford,USA,124006.0
81891,Limburgerhof,Germany,10753.0
81892,Ciriza,Spain,70.0
81893,La Esperanza,Panama,1890.0
81894,Putlunichuchut (Vista Hermosa),Mexico,1321.0
81895,Nāmakkal,India,55997.0
81896,Maslianico,Italy,3305.0
81897,Vlodrop,Netherlands,1860.0
81898,Cimin,Turkey,39591.0
81899,Eslāmshahr,Iran,0.0
81900,North Vancouver,Canada,48000.0
81901,Arnaía,Greece,2300.0
81902,Ridgeland,USA,3999.0
81903,Philadelphia,USA,1223.0
81904,Thurins,France,2591.0
81905,Le Plessis-Belleville,France,3120.0
81906,Gavião,Portugal,4132.0
81907,Tiakur,Indonesia,0.0
81908,Spinete,Italy,288.0
81909,El Porvenir de Velasco Suárez,Mexico,1436.0
81910,Jablonec nad Jizerou,Czechia,1968.0
81911,Rybnik,Poland,142510.0
81912,Chalcos,Peru,0.0
81913,Perushtitsa,Bulgaria,5350.0
81914,Chastre-Villeroux-Blanmont,Belgium,6243.0
81915,Saluzzo,Italy,16537.0
81916,Castelli Calepio,Italy,9459.0
81917,Candarave,Peru,3415.0
81918,Aberdeen,USA,2672.0
81919,Kappelrodeck,Germany,5787.0
81920,Preston,United Kingdom,313332.0
81921,Midway,USA,2125.0
81922,Caruray,Philippines,4115.0
81923,Edina,USA,50138.0
81924,Cosnac,France,2412.0
81925,Siikainen,Finland,1917.0
81926,Inwood,USA,10082.0
81927,Jenks,USA,20740.0
81928,Batman,Turkey,381990.0
81929,Balrothery,Ireland,1866.0
81930,Tamazulapam,Mexico,0.0
81931,Potes,Spain,1481.0
81932,Valcheta,Argentina,3596.0
81933,Jobstown,Ireland,10825.0
81934,Niedenstein,Germany,5702.0
81935,Gundersheim,Germany,1668.0
81936,Jaguaquara,Brazil,41498.0
81937,Phnum Sruoch,Cambodia,0.0
81938,Mount Evelyn,Australia,9100.0
81939,Cruïlles,Spain,1234.0
81940,Chililabombwe,Zambia,57328.0
81941,Malanje,Angola,87046.0
81942,Somerset,USA,2693.0
81943,Chinameca,Mexico,2887.0
81944,Buğdaylı,Turkey,0.0
81945,Sainte-Cécile,France,1437.0
81946,Nowe Lipiny,Poland,1200.0
81947,Al-`Ula,Saudi Arabia,32413.0
81948,Dolega District,Panama,1653.0
81949,North Valley Stream,USA,16628.0
81950,Vrani,Romania,1215.0
81951,Calvarrasa de Abajo,Spain,1003.0
81952,Fort Kent,USA,2488.0
81953,Beaumaris,Australia,12829.0
81954,Osseo,USA,1703.0
